date,sku,store,unit_price,sales,demand_realized,on_hand,lead_time_days,safety_stock,reorder_point,year,month,dayofweek
2023-03-13,SKU_001,WH_Main,160.33,52,52,817,13,37,557,2023,3,0
2023-03-14,SKU_001,WH_Main,160.33,56,56,761,11,38,478,2023,3,1
2023-03-15,SKU_001,WH_Main,160.33,45,45,716,10,36,436,2023,3,2
2023-03-16,SKU_001,WH_Main,160.33,47,47,669,9,32,392,2023,3,3
2023-03-17,SKU_001,WH_Main,160.33,52,52,617,11,36,476,2023,3,4
2023-03-18,SKU_001,WH_Main,160.33,60,60,557,15,42,642,2023,3,5
2023-03-19,SKU_001,WH_Main,160.33,44,44,1749,14,41,601,2023,3,6
2023-03-20,SKU_001,WH_Main,160.33,49,49,1700,12,34,514,2023,3,0
2023-03-21,SKU_001,WH_Main,160.33,57,57,1643,13,40,560,2023,3,1
2023-03-22,SKU_001,WH_Main,160.33,48,48,1595,16,39,679,2023,3,2
2023-03-23,SKU_001,WH_Main,160.33,51,51,1544,14,43,603,2023,3,3
2023-03-24,SKU_001,WH_Main,160.33,56,56,1488,19,44,804,2023,3,4
2023-03-25,SKU_001,WH_Main,160.33,53,53,1435,19,48,808,2023,3,5
2023-03-26,SKU_001,WH_Main,160.33,58,58,1377,10,33,433,2023,3,6
2023-03-27,SKU_001,WH_Main,160.33,47,47,1330,8,31,351,2023,3,0
2023-03-28,SKU_001,WH_Main,160.33,55,55,1275,11,36,476,2023,3,1
2023-03-29,SKU_001,WH_Main,160.33,38,38,1237,15,40,640,2023,3,2
2023-03-30,SKU_001,WH_Main,160.33,64,64,1173,13,36,556,2023,3,3
2023-03-31,SKU_001,WH_Main,160.33,52,52,1121,16,42,682,2023,3,4
2023-04-01,SKU_001,WH_Main,160.33,51,51,1070,9,32,392,2023,4,5
2023-04-02,SKU_001,WH_Main,160.33,49,49,1021,14,39,599,2023,4,6
2023-04-03,SKU_001,WH_Main,160.33,44,44,977,17,43,723,2023,4,0
2023-04-04,SKU_001,WH_Main,160.33,50,50,927,12,38,518,2023,4,1
2023-04-05,SKU_001,WH_Main,160.33,66,66,861,11,31,471,2023,4,2
2023-04-06,SKU_001,WH_Main,160.33,50,50,811,13,36,556,2023,4,3
2023-04-07,SKU_001,WH_Main,160.33,42,42,769,10,31,431,2023,4,4
2023-04-08,SKU_001,WH_Main,160.33,51,51,718,16,40,680,2023,4,5
2023-04-09,SKU_001,WH_Main,160.33,70,70,648,11,42,482,2023,4,6
2023-04-10,SKU_001,WH_Main,160.33,53,53,595,14,40,600,2023,4,0
2023-04-11,SKU_001,WH_Main,160.33,60,60,535,13,40,560,2023,4,1
2023-04-12,SKU_001,WH_Main,160.33,49,49,486,16,42,682,2023,4,2
2023-04-13,SKU_001,WH_Main,160.33,52,52,1585,20,50,850,2023,4,3
2023-04-14,SKU_001,WH_Main,160.33,45,45,1540,8,31,351,2023,4,4
2023-04-15,SKU_001,WH_Main,160.33,51,51,1489,12,34,514,2023,4,5
2023-04-16,SKU_001,WH_Main,160.33,45,45,1444,14,39,599,2023,4,6
2023-04-17,SKU_001,WH_Main,160.33,55,55,1389,11,31,471,2023,4,0
2023-04-18,SKU_001,WH_Main,160.33,55,55,1334,12,36,516,2023,4,1
2023-04-19,SKU_001,WH_Main,160.33,49,49,1285,17,40,720,2023,4,2
2023-04-20,SKU_001,WH_Main,160.33,50,50,1235,16,43,683,2023,4,3
2023-04-21,SKU_001,WH_Main,160.33,58,58,1177,14,38,598,2023,4,4
2023-04-22,SKU_001,WH_Main,160.33,53,53,1124,7,32,312,2023,4,5
2023-04-23,SKU_001,WH_Main,160.33,55,55,1069,17,42,722,2023,4,6
2023-04-24,SKU_001,WH_Main,160.33,60,60,1009,11,39,479,2023,4,0
2023-04-25,SKU_001,WH_Main,160.33,41,41,968,12,40,520,2023,4,1
2023-04-26,SKU_001,WH_Main,160.33,61,61,907,12,33,513,2023,4,2
2023-04-27,SKU_001,WH_Main,160.33,56,56,851,10,34,434,2023,4,3
2023-04-28,SKU_001,WH_Main,160.33,50,50,801,20,51,851,2023,4,4
2023-04-29,SKU_001,WH_Main,160.33,55,55,746,11,34,474,2023,4,5
2023-04-30,SKU_001,WH_Main,160.33,55,55,691,16,42,682,2023,4,6
2023-05-01,SKU_001,WH_Main,160.33,50,50,641,16,41,681,2023,5,0
2023-05-02,SKU_001,WH_Main,160.33,53,53,588,13,37,557,2023,5,1
2023-05-03,SKU_001,WH_Main,160.33,53,53,535,9,31,391,2023,5,2
2023-05-04,SKU_001,WH_Main,160.33,48,48,487,17,41,721,2023,5,3
2023-05-05,SKU_001,WH_Main,160.33,52,52,1575,12,33,513,2023,5,4
2023-05-06,SKU_001,WH_Main,160.33,66,66,1509,8,33,353,2023,5,5
2023-05-07,SKU_001,WH_Main,160.33,63,63,1446,13,35,555,2023,5,6
2023-05-08,SKU_001,WH_Main,160.33,60,60,1386,12,39,519,2023,5,0
2023-05-09,SKU_001,WH_Main,160.33,66,66,1320,13,42,562,2023,5,1
2023-05-10,SKU_001,WH_Main,160.33,55,55,1265,13,32,552,2023,5,2
2023-05-11,SKU_001,WH_Main,160.33,70,70,1195,11,34,474,2023,5,3
2023-05-12,SKU_001,WH_Main,160.33,45,45,1150,12,37,517,2023,5,4
2023-05-13,SKU_001,WH_Main,160.33,61,61,1089,15,43,643,2023,5,5
2023-05-14,SKU_001,WH_Main,160.33,69,69,1020,11,35,475,2023,5,6
2023-05-15,SKU_001,WH_Main,160.33,46,46,974,13,43,563,2023,5,0
2023-05-16,SKU_001,WH_Main,160.33,63,63,911,12,38,518,2023,5,1
2023-05-17,SKU_001,WH_Main,160.33,57,57,854,6,28,268,2023,5,2
2023-05-18,SKU_001,WH_Main,160.33,58,58,796,14,34,594,2023,5,3
2023-05-19,SKU_001,WH_Main,160.33,60,60,736,13,39,559,2023,5,4
2023-05-20,SKU_001,WH_Main,160.33,61,61,675,12,37,517,2023,5,5
2023-05-21,SKU_001,WH_Main,160.33,54,54,621,17,43,723,2023,5,6
2023-05-22,SKU_001,WH_Main,160.33,50,50,571,10,35,435,2023,5,0
2023-05-23,SKU_001,WH_Main,160.33,46,46,525,3,17,137,2023,5,1
2023-05-24,SKU_001,WH_Main,160.33,50,50,475,11,36,476,2023,5,2
2023-05-25,SKU_001,WH_Main,160.33,64,64,411,9,30,390,2023,5,3
2023-05-26,SKU_001,WH_Main,160.33,52,52,359,15,40,640,2023,5,4
2023-05-27,SKU_001,WH_Main,160.33,58,58,301,7,26,306,2023,5,5
2023-05-28,SKU_001,WH_Main,160.33,69,69,917,11,34,474,2023,5,6
2023-05-29,SKU_001,WH_Main,160.33,55,55,862,10,33,433,2023,5,0
2023-05-30,SKU_001,WH_Main,160.33,48,48,814,12,36,516,2023,5,1
2023-05-31,SKU_001,WH_Main,160.33,51,51,763,12,39,519,2023,5,2
2023-06-01,SKU_001,WH_Main,160.33,54,54,709,15,40,640,2023,6,3
2023-06-02,SKU_001,WH_Main,160.33,60,60,649,15,41,641,2023,6,4
2023-06-03,SKU_001,WH_Main,160.33,76,76,573,13,42,562,2023,6,5
2023-06-04,SKU_001,WH_Main,160.33,68,68,505,13,38,558,2023,6,6
2023-06-05,SKU_001,WH_Main,160.33,61,61,444,12,35,515,2023,6,0
2023-06-06,SKU_001,WH_Main,160.33,60,60,384,10,33,433,2023,6,1
2023-06-07,SKU_001,WH_Main,160.33,58,58,326,7,26,306,2023,6,2
2023-06-08,SKU_001,WH_Main,160.33,57,57,1119,9,31,391,2023,6,3
2023-06-09,SKU_001,WH_Main,160.33,58,58,1061,11,35,475,2023,6,4
2023-06-10,SKU_001,WH_Main,160.33,77,77,984,8,28,348,2023,6,5
2023-06-11,SKU_001,WH_Main,160.33,66,66,918,15,45,645,2023,6,6
2023-06-12,SKU_001,WH_Main,160.33,55,55,863,12,36,516,2023,6,0
2023-06-13,SKU_001,WH_Main,160.33,59,59,804,9,33,393,2023,6,1
2023-06-14,SKU_001,WH_Main,160.33,62,62,742,16,45,685,2023,6,2
2023-06-15,SKU_001,WH_Main,160.33,65,65,677,8,31,351,2023,6,3
2023-06-16,SKU_001,WH_Main,160.33,59,59,618,15,43,643,2023,6,4
2023-06-17,SKU_001,WH_Main,160.33,79,79,539,10,36,436,2023,6,5
2023-06-18,SKU_001,WH_Main,160.33,63,63,476,9,31,391,2023,6,6
2023-06-19,SKU_001,WH_Main,160.33,69,69,407,12,37,517,2023,6,0
2023-06-20,SKU_001,WH_Main,160.33,60,60,347,12,32,512,2023,6,1
2023-06-21,SKU_001,WH_Main,160.33,53,53,1084,12,42,522,2023,6,2
2023-06-22,SKU_001,WH_Main,160.33,56,56,1028,13,34,554,2023,6,3
2023-06-23,SKU_001,WH_Main,160.33,58,58,970,15,36,636,2023,6,4
2023-06-24,SKU_001,WH_Main,160.33,61,61,909,10,32,432,2023,6,5
2023-06-25,SKU_001,WH_Main,160.33,73,73,836,14,38,598,2023,6,6
2023-06-26,SKU_001,WH_Main,160.33,83,83,753,14,39,599,2023,6,0
2023-06-27,SKU_001,WH_Main,160.33,59,59,694,13,35,555,2023,6,1
2023-06-28,SKU_001,WH_Main,160.33,64,64,630,11,35,475,2023,6,2
2023-06-29,SKU_001,WH_Main,160.33,65,65,1466,17,41,721,2023,6,3
2023-06-30,SKU_001,WH_Main,160.33,47,47,1419,13,38,558,2023,6,4
2023-07-01,SKU_001,WH_Main,160.33,63,63,1356,10,29,429,2023,7,5
2023-07-02,SKU_001,WH_Main,160.33,49,49,1307,13,37,557,2023,7,6
2023-07-03,SKU_001,WH_Main,160.33,59,59,1248,13,42,562,2023,7,0
2023-07-04,SKU_001,WH_Main,160.33,46,46,1202,14,39,599,2023,7,1
2023-07-05,SKU_001,WH_Main,160.33,54,54,1148,14,38,598,2023,7,2
2023-07-06,SKU_001,WH_Main,160.33,58,58,1090,16,43,683,2023,7,3
2023-07-07,SKU_001,WH_Main,160.33,60,60,1030,12,39,519,2023,7,4
2023-07-08,SKU_001,WH_Main,160.33,59,59,971,14,41,601,2023,7,5
2023-07-09,SKU_001,WH_Main,160.33,68,68,903,10,31,431,2023,7,6
2023-07-10,SKU_001,WH_Main,160.33,58,58,845,16,42,682,2023,7,0
2023-07-11,SKU_001,WH_Main,160.33,66,66,779,11,33,473,2023,7,1
2023-07-12,SKU_001,WH_Main,160.33,64,64,715,8,26,346,2023,7,2
2023-07-13,SKU_001,WH_Main,160.33,74,74,641,12,33,513,2023,7,3
2023-07-14,SKU_001,WH_Main,160.33,47,47,594,11,35,475,2023,7,4
2023-07-15,SKU_001,WH_Main,160.33,61,61,533,16,43,683,2023,7,5
2023-07-16,SKU_001,WH_Main,160.33,49,49,484,12,39,519,2023,7,6
2023-07-17,SKU_001,WH_Main,160.33,50,50,434,13,40,560,2023,7,0
2023-07-18,SKU_001,WH_Main,160.33,50,50,384,11,33,473,2023,7,1
2023-07-19,SKU_001,WH_Main,160.33,57,57,327,13,37,557,2023,7,2
2023-07-20,SKU_001,WH_Main,160.33,54,54,273,8,31,351,2023,7,3
2023-07-21,SKU_001,WH_Main,160.33,49,49,224,14,41,601,2023,7,4
2023-07-22,SKU_001,WH_Main,160.33,70,70,154,11,34,474,2023,7,5
2023-07-23,SKU_001,WH_Main,160.33,57,57,97,9,30,390,2023,7,6
2023-07-24,SKU_001,WH_Main,160.33,66,66,31,13,41,561,2023,7,0
2023-07-25,SKU_001,WH_Main,160.33,31,60,960,16,46,686,2023,7,1
2023-07-26,SKU_001,WH_Main,160.33,54,54,906,12,39,519,2023,7,2
2023-07-27,SKU_001,WH_Main,160.33,53,53,853,12,36,516,2023,7,3
2023-07-28,SKU_001,WH_Main,160.33,44,44,809,15,40,640,2023,7,4
2023-07-29,SKU_001,WH_Main,160.33,69,69,740,12,36,516,2023,7,5
2023-07-30,SKU_001,WH_Main,160.33,56,56,684,11,37,477,2023,7,6
2023-07-31,SKU_001,WH_Main,160.33,54,54,630,7,28,308,2023,7,0
2023-08-01,SKU_001,WH_Main,160.33,45,45,585,12,34,514,2023,8,1
2023-08-02,SKU_001,WH_Main,160.33,51,51,534,11,36,476,2023,8,2
2023-08-03,SKU_001,WH_Main,160.33,61,61,473,18,47,767,2023,8,3
2023-08-04,SKU_001,WH_Main,160.33,52,52,421,16,42,682,2023,8,4
2023-08-05,SKU_001,WH_Main,160.33,54,54,367,15,41,641,2023,8,5
2023-08-06,SKU_001,WH_Main,160.33,66,66,301,17,43,723,2023,8,6
2023-08-07,SKU_001,WH_Main,160.33,69,69,232,14,37,597,2023,8,0
2023-08-08,SKU_001,WH_Main,160.33,59,59,949,10,32,432,2023,8,1
2023-08-09,SKU_001,WH_Main,160.33,46,46,903,11,37,477,2023,8,2
2023-08-10,SKU_001,WH_Main,160.33,51,51,852,12,36,516,2023,8,3
2023-08-11,SKU_001,WH_Main,160.33,53,53,799,15,38,638,2023,8,4
2023-08-12,SKU_001,WH_Main,160.33,50,50,749,18,40,760,2023,8,5
2023-08-13,SKU_001,WH_Main,160.33,58,58,691,8,31,351,2023,8,6
2023-08-14,SKU_001,WH_Main,160.33,43,43,648,11,33,473,2023,8,0
2023-08-15,SKU_001,WH_Main,160.33,53,53,595,10,30,430,2023,8,1
2023-08-16,SKU_001,WH_Main,160.33,56,56,539,10,36,436,2023,8,2
2023-08-17,SKU_001,WH_Main,160.33,54,54,485,16,42,682,2023,8,3
2023-08-18,SKU_001,WH_Main,160.33,38,38,447,9,34,394,2023,8,4
2023-08-19,SKU_001,WH_Main,160.33,61,61,386,11,37,477,2023,8,5
2023-08-20,SKU_001,WH_Main,160.33,54,54,332,12,39,519,2023,8,6
2023-08-21,SKU_001,WH_Main,160.33,57,57,275,12,36,516,2023,8,0
2023-08-22,SKU_001,WH_Main,160.33,68,68,207,11,34,474,2023,8,1
2023-08-23,SKU_001,WH_Main,160.33,50,50,157,11,33,473,2023,8,2
2023-08-24,SKU_001,WH_Main,160.33,69,69,88,6,28,268,2023,8,3
2023-08-25,SKU_001,WH_Main,160.33,53,53,35,11,38,478,2023,8,4
2023-08-26,SKU_001,WH_Main,160.33,35,55,0,11,35,475,2023,8,5
2023-08-27,SKU_001,WH_Main,160.33,0,53,0,12,37,517,2023,8,6
2023-08-28,SKU_001,WH_Main,160.33,0,48,0,16,41,681,2023,8,0
2023-08-29,SKU_001,WH_Main,160.33,0,42,0,12,38,518,2023,8,1
2023-08-30,SKU_001,WH_Main,160.33,0,53,0,11,33,473,2023,8,2
2023-08-31,SKU_001,WH_Main,160.33,0,54,0,11,32,472,2023,8,3
2023-09-01,SKU_001,WH_Main,160.33,0,62,0,10,35,435,2023,9,4
2023-09-02,SKU_001,WH_Main,160.33,0,48,1020,13,38,558,2023,9,5
2023-09-03,SKU_001,WH_Main,160.33,58,58,962,15,40,640,2023,9,6
2023-09-04,SKU_001,WH_Main,160.33,61,61,901,6,23,263,2023,9,0
2023-09-05,SKU_001,WH_Main,160.33,53,53,848,9,31,391,2023,9,1
2023-09-06,SKU_001,WH_Main,160.33,66,66,782,16,46,686,2023,9,2
2023-09-07,SKU_001,WH_Main,160.33,63,63,719,13,35,555,2023,9,3
2023-09-08,SKU_001,WH_Main,160.33,48,48,671,7,30,310,2023,9,4
2023-09-09,SKU_001,WH_Main,160.33,57,57,614,11,38,478,2023,9,5
2023-09-10,SKU_001,WH_Main,160.33,74,74,540,11,34,474,2023,9,6
2023-09-11,SKU_001,WH_Main,160.33,52,52,488,16,49,689,2023,9,0
2023-09-12,SKU_001,WH_Main,160.33,51,51,437,9,33,393,2023,9,1
2023-09-13,SKU_001,WH_Main,160.33,51,51,386,14,40,600,2023,9,2
2023-09-14,SKU_001,WH_Main,160.33,53,53,333,11,32,472,2023,9,3
2023-09-15,SKU_001,WH_Main,160.33,48,48,285,5,23,223,2023,9,4
2023-09-16,SKU_001,WH_Main,160.33,57,57,228,12,31,511,2023,9,5
2023-09-17,SKU_001,WH_Main,160.33,60,60,168,10,33,433,2023,9,6
2023-09-18,SKU_001,WH_Main,160.33,58,58,110,12,37,517,2023,9,0
2023-09-19,SKU_001,WH_Main,160.33,55,55,55,9,31,391,2023,9,1
2023-09-20,SKU_001,WH_Main,160.33,50,50,5,13,36,556,2023,9,2
2023-09-21,SKU_001,WH_Main,160.33,5,53,0,17,47,727,2023,9,3
2023-09-22,SKU_001,WH_Main,160.33,0,60,0,11,32,472,2023,9,4
2023-09-23,SKU_001,WH_Main,160.33,0,51,0,10,33,433,2023,9,5
2023-09-24,SKU_001,WH_Main,160.33,0,64,1217,15,44,644,2023,9,6
2023-09-25,SKU_001,WH_Main,160.33,67,67,1150,12,39,519,2023,9,0
2023-09-26,SKU_001,WH_Main,160.33,49,49,1101,11,35,475,2023,9,1
2023-09-27,SKU_001,WH_Main,160.33,47,47,1054,16,42,682,2023,9,2
2023-09-28,SKU_001,WH_Main,160.33,53,53,1001,12,38,518,2023,9,3
2023-09-29,SKU_001,WH_Main,160.33,51,51,950,8,30,350,2023,9,4
2023-09-30,SKU_001,WH_Main,160.33,56,56,894,13,31,551,2023,9,5
2023-10-01,SKU_001,WH_Main,160.33,49,49,845,15,40,640,2023,10,6
2023-10-02,SKU_001,WH_Main,160.33,48,48,797,11,38,478,2023,10,0
2023-10-03,SKU_001,WH_Main,160.33,50,50,747,10,35,435,2023,10,1
2023-10-04,SKU_001,WH_Main,160.33,66,66,681,13,39,559,2023,10,2
2023-10-05,SKU_001,WH_Main,160.33,52,52,629,8,27,347,2023,10,3
2023-10-06,SKU_001,WH_Main,160.33,42,42,587,11,34,474,2023,10,4
2023-10-07,SKU_001,WH_Main,160.33,64,64,523,11,32,472,2023,10,5
2023-10-08,SKU_001,WH_Main,160.33,54,54,469,14,38,598,2023,10,6
2023-10-09,SKU_001,WH_Main,160.33,53,53,416,10,31,431,2023,10,0
2023-10-10,SKU_001,WH_Main,160.33,57,57,359,10,35,435,2023,10,1
2023-10-11,SKU_001,WH_Main,160.33,56,56,911,11,37,477,2023,10,2
2023-10-12,SKU_001,WH_Main,160.33,50,50,861,10,34,434,2023,10,3
2023-10-13,SKU_001,WH_Main,160.33,56,56,805,12,40,520,2023,10,4
2023-10-14,SKU_001,WH_Main,160.33,46,46,759,14,36,596,2023,10,5
2023-10-15,SKU_001,WH_Main,160.33,52,52,707,13,37,557,2023,10,6
2023-10-16,SKU_001,WH_Main,160.33,54,54,653,13,39,559,2023,10,0
2023-10-17,SKU_001,WH_Main,160.33,56,56,597,9,32,392,2023,10,1
2023-10-18,SKU_001,WH_Main,160.33,61,61,536,12,38,518,2023,10,2
2023-10-19,SKU_001,WH_Main,160.33,37,37,499,11,35,475,2023,10,3
2023-10-20,SKU_001,WH_Main,160.33,43,43,456,8,31,351,2023,10,4
2023-10-21,SKU_001,WH_Main,160.33,60,60,396,11,36,476,2023,10,5
2023-10-22,SKU_001,WH_Main,160.33,58,58,338,11,36,476,2023,10,6
2023-10-23,SKU_001,WH_Main,160.33,58,58,280,11,29,469,2023,10,0
2023-10-24,SKU_001,WH_Main,160.33,56,56,224,9,30,390,2023,10,1
2023-10-25,SKU_001,WH_Main,160.33,47,47,177,15,41,641,2023,10,2
2023-10-26,SKU_001,WH_Main,160.33,57,57,120,11,36,476,2023,10,3
2023-10-27,SKU_001,WH_Main,160.33,44,44,1148,16,43,683,2023,10,4
2023-10-28,SKU_001,WH_Main,160.33,50,50,1098,13,41,561,2023,10,5
2023-10-29,SKU_001,WH_Main,160.33,49,49,1049,13,35,555,2023,10,6
2023-10-30,SKU_001,WH_Main,160.33,57,57,992,15,47,647,2023,10,0
2023-10-31,SKU_001,WH_Main,160.33,49,49,943,17,40,720,2023,10,1
2023-11-01,SKU_001,WH_Main,160.33,55,55,888,10,32,432,2023,11,2
2023-11-02,SKU_001,WH_Main,160.33,43,43,845,11,37,477,2023,11,3
2023-11-03,SKU_001,WH_Main,160.33,33,33,812,8,33,353,2023,11,4
2023-11-04,SKU_001,WH_Main,160.33,51,51,761,13,38,558,2023,11,5
2023-11-05,SKU_001,WH_Main,160.33,49,49,712,15,38,638,2023,11,6
2023-11-06,SKU_001,WH_Main,160.33,49,49,663,13,41,561,2023,11,0
2023-11-07,SKU_001,WH_Main,160.33,47,47,616,18,49,769,2023,11,1
2023-11-08,SKU_001,WH_Main,160.33,38,38,578,9,34,394,2023,11,2
2023-11-09,SKU_001,WH_Main,160.33,49,49,529,9,28,388,2023,11,3
2023-11-10,SKU_001,WH_Main,160.33,43,43,486,14,40,600,2023,11,4
2023-11-11,SKU_001,WH_Main,160.33,59,59,427,13,39,559,2023,11,5
2023-11-12,SKU_001,WH_Main,160.33,57,57,370,13,39,559,2023,11,6
2023-11-13,SKU_001,WH_Main,160.33,47,47,323,8,33,353,2023,11,0
2023-11-14,SKU_001,WH_Main,160.33,34,34,289,12,34,514,2023,11,1
2023-11-15,SKU_001,WH_Main,160.33,36,36,949,11,34,474,2023,11,2
2023-11-16,SKU_001,WH_Main,160.33,37,37,912,14,43,603,2023,11,3
2023-11-17,SKU_001,WH_Main,160.33,47,47,865,16,47,687,2023,11,4
2023-11-18,SKU_001,WH_Main,160.33,45,45,820,18,52,772,2023,11,5
2023-11-19,SKU_001,WH_Main,160.33,60,60,760,13,38,558,2023,11,6
2023-11-20,SKU_001,WH_Main,160.33,46,46,714,14,42,602,2023,11,0
2023-11-21,SKU_001,WH_Main,160.33,42,42,672,6,27,267,2023,11,1
2023-11-22,SKU_001,WH_Main,160.33,50,50,622,11,37,477,2023,11,2
2023-11-23,SKU_001,WH_Main,160.33,48,48,574,12,33,513,2023,11,3
2023-11-24,SKU_001,WH_Main,160.33,39,39,535,10,32,432,2023,11,4
